scenario,priority_type,priority_growth_rate,capacity,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,FALSE,0,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,FALSE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,FALSE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,FALSE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,FALSE,0,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,FALSE,2,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,FALSE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,6,FALSE,FALSE,1,2,3
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,5,FALSE,FALSE,2,1,2
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,6,FALSE,FALSE,0,1,5
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,6,FALSE,FALSE,0,1,5
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,8,FALSE,FALSE,1,2,5
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,6,FALSE,FALSE,1,2,3
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,4,FALSE,TRUE,0,4,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,0,2,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,TRUE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,1,2,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,TRUE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,TRUE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,TRUE,0,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,5,FALSE,TRUE,2,2,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,TRUE,0,1,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,5,FALSE,TRUE,3,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,TRUE,0,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,TRUE,0,0,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,TRUE,1,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,TRUE,0,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,Inf,FALSE,FALSE,1,1,Inf
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,FALSE,1,0,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,4,FALSE,FALSE,3,1,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,4,FALSE,FALSE,2,1,1
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,FALSE,2,1,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,2,FALSE,FALSE,1,1,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,4,FALSE,FALSE,2,2,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,1,FALSE,FALSE,0,1,0
optimal_priority_vaccine_new_swab_delay_poisson1_capacity70pc_max_5d,priority_vaccine_new_swab,delay_poisson1,capacity70pc,max_5d,0.7,3,FALSE,FALSE,0,2,1
